,title,originallink,link,description,pubDate
0,최교진 교육부 장관 취임…“공교육 회복 위해 교권 보호”,http://www.edaily.co.kr/news/newspath.asp?newsid=03148806642299464,https://n.news.naver.com/mnews/article/018/0006113679?sid=102,"인공지능(<b>AI</b>) 인재를 적극 육성하겠다는 의지도 내비쳤다. 이를 위해 디지털 문해력과 <b>AI</b> 기초역량 강화, 창의력·문제해결 능력 강화, 인문학 교육 확대 등에 나선다는 계획이다. 최 장관은 기초학력 지원과 돌봄 정책 등... ","Fri, 12 Sep 2025 12:15:00 +0900"
1,"코레일, 추석 예매 앞두고 주요 철도역서 '디지털스쿨' 운영",https://www.redaily.co.kr/news/articleView.html?idxno=13621,https://www.redaily.co.kr/news/articleView.html?idxno=13621,코레일 직원들은 역 맞이방에서 스마트폰이 익숙치 않은 어르신 등에게 △모바일 앱 '코레일톡' 승차권 예매 방법 △무인발매기 사용법 △<b>AI</b> 챗봇 서비스 등을 안내한다. 특히 오는 15일부터 시행하는 추석 예매 일정과... ,"Fri, 12 Sep 2025 12:14:00 +0900"
2,"SK에코플랜트, <b>AI</b>·로봇·반도체 혁신기술 공모전 ‘2025 콘테크 미트업...",https://www.seoultimes.news/news/article.html?no=2000080195,https://www.seoultimes.news/news/article.html?no=2000080195,<b>AI</b>·로봇·반도체 혁신기술 보유 스타트업 및 중소·중견기업 대상 오픈 이노베이션 공모전 기술분야별... SK에코플랜트는 <b>AI</b>·로봇·반도체 혁신기술 및 솔루션 오픈 이노베이션 공모전 ‘2025 콘테크 미트업 데이’를... ,"Fri, 12 Sep 2025 12:13:00 +0900"
3,"SK하이닉스, 세계 최초 HBM4 개발 완료…양산 체제 구축",https://www.donga.com/news/Economy/article/all/20250912/132373318/1,https://n.news.naver.com/mnews/article/020/0003660653?sid=101,SK하이닉스가 세계 최초로 인공지능(<b>AI</b>) 가속기에 들어가는 차세대 고대역폭메모리(HBM)인 HBM4 개발을... 공급해 <b>AI</b> 메모리 시장에서의 경쟁 우위를 확보하고 신속한 시장 진입을 실현할 것”이라고  밝혔다. 현재... ,"Fri, 12 Sep 2025 12:13:00 +0900"
4,"쿠도커뮤니케이션, '몽고DB 닷로컬 서울 2025'서 분산 빅데이터 어플라...",https://www.etnews.com/20250912000161,https://n.news.naver.com/mnews/article/030/0003349847?sid=105,"인공지능(<b>AI</b>) 보안 및 데이터 통합 전문기업 쿠도커뮤니케이션(대표 김용식)이 지난 3일 몽고DB코리아 주최... 쿠도커뮤니케이션은 비전 <b>AI</b>와 데이터·애플리케이션 통합 분야에서 25년간 축적한 역량을 기반으로, 대규모... ","Fri, 12 Sep 2025 12:13:00 +0900"
5,"에스투더블유, IPO 일반청약 경쟁률 1972.62:1로 흥행 성공...오는 19일 상...",https://www.ezyeconomy.com/news/articleView.html?idxno=221394,https://www.ezyeconomy.com/news/articleView.html?idxno=221394,빅데이터 분석 <b>AI</b> 기업 에스투더블유(이하 S2W)가 지난 10일과 11일 양일간 기업공개(IPO) 일반청약을... 지난 2018년에 설립된 S2W는 공공·정부기관용 안보 <b>AI</b> 플랫폼 '자비스'와 기업 및 기관용 보안 <b>AI</b> 플랫폼 '퀘이사... ,"Fri, 12 Sep 2025 12:12:00 +0900"
6,"디지털오션, <b>AI</b>로 웹 호스팅 혁신…'클라우드웨이즈 코파일럿' 출시",https://www.digitaltoday.co.kr/news/articleView.html?idxno=591563,https://www.digitaltoday.co.kr/news/articleView.html?idxno=591563,"<b>AI</b>) 기반 웹 호스팅 툴을 공개하며, 서버 관리 자동화를 본격화했다. 11일(현지시간) IT매체 테크레이더에 따르면 디지털오션이 웹 호스팅 툴 '클라우드웨이즈 코파일럿'(Cloudways Copilot)을 정식 출시했다. 기존 <b>AI</b> 웹... ","Fri, 12 Sep 2025 12:12:00 +0900"
7,코스피 연일 사상 최고 행진…비트코인 웃을 수 없는 이유,https://www.digitaltoday.co.kr/news/articleView.html?idxno=591557,https://www.digitaltoday.co.kr/news/articleView.html?idxno=591557,"[사진: Reve <b>AI</b>]  한국 코스피 지수가 4340을 돌파하며 사상 최고치를 경신한 가운데, 비트코인(BTC) 상승세에 제동이 걸릴 수 있다는 관측이 나왔다. 코스피의 강세는 한국 투자자들이 비트코인 대신 주식에 대한 투자를... ","Fri, 12 Sep 2025 12:12:00 +0900"
8,"숭실대, '2025 <b>AI</b> 분야 첨단산업 인재 양성 부트캠프' 운영 선정",https://www.newsis.com/view/NISX20250912_0003326599,https://n.news.naver.com/mnews/article/003/0013478344?sid=102,전수현 인턴 기자 = 숭실대는 교육부와 한국산업기술진흥원이 주관하는 '2025 인공지능(<b>AI</b>) 분야 첨단산업... 올해 인공지능(<b>AI</b>) 분야가 신설됐으며 공모에 참여한 32개 대학 중 숭실대를 포함해 3개 대학이 최종... ,"Fri, 12 Sep 2025 12:12:00 +0900"
9,주식고수 매수 3위 '세계 최초 HBM4 양산 급등 신고가 경신' SK하이닉스...,https://www.widedaily.com/news/articleView.html?idxno=277917,https://www.widedaily.com/news/articleView.html?idxno=277917,"하반기는 <b>AI</b> 서버 수요의 견조한 흐름이 지속될 것으로 전망되며, PC와 모바일 부문 또한 계절적 수요와 온디바이스 <b>AI</b> 확산에 따른 수요 증가로 성장이 기대된다. 매수 3위인 SK하이닉스는 SK그룹 산하... ","Fri, 12 Sep 2025 12:12:00 +0900"
10,"[국감 프리뷰] 첫 문민 국방장관, '숫자'로 국방개혁 성적표 낼까",http://www.newsroad.co.kr/news/articleView.html?idxno=45618,http://www.newsroad.co.kr/news/articleView.html?idxno=45618,"국직부대 통폐합 진척, 드론·<b>AI</b> 전력화 이행률, 한미동맹 재설계 로드맵, 방산수출 200억 달러(약... 개혁, 드론·<b>AI</b> 전력화, 한미동맹 재설계, 방산수출 모두 계획이 아닌 숫자와 일정으로 검증돼야 한다&quot;고 강조했다.","Fri, 12 Sep 2025 12:12:00 +0900"
11,"디지털오션, <b>AI</b>로 웹 호스팅 혁신…'클라우드웨이즈 코파일럿' 출시",https://www.digitaltoday.co.kr/news/articleView.html?idxno=591563,https://www.digitaltoday.co.kr/news/articleView.html?idxno=591563,"<b>AI</b>) 기반 웹 호스팅 툴을 공개하며, 서버 관리 자동화를 본격화했다. 11일(현지시간) IT매체 테크레이더에 따르면 디지털오션이 웹 호스팅 툴 '클라우드웨이즈 코파일럿'(Cloudways Copilot)을 정식 출시했다. 기존 <b>AI</b> 웹... ","Fri, 12 Sep 2025 12:12:00 +0900"
12,코스피 연일 사상 최고 행진…비트코인 웃을 수 없는 이유,https://www.digitaltoday.co.kr/news/articleView.html?idxno=591557,https://www.digitaltoday.co.kr/news/articleView.html?idxno=591557,"[사진: Reve <b>AI</b>]  한국 코스피 지수가 4340을 돌파하며 사상 최고치를 경신한 가운데, 비트코인(BTC) 상승세에 제동이 걸릴 수 있다는 관측이 나왔다. 코스피의 강세는 한국 투자자들이 비트코인 대신 주식에 대한 투자를... ","Fri, 12 Sep 2025 12:12:00 +0900"
13,"숭실대, '2025 <b>AI</b> 분야 첨단산업 인재 양성 부트캠프' 운영 선정",https://www.newsis.com/view/NISX20250912_0003326599,https://n.news.naver.com/mnews/article/003/0013478344?sid=102,전수현 인턴 기자 = 숭실대는 교육부와 한국산업기술진흥원이 주관하는 '2025 인공지능(<b>AI</b>) 분야 첨단산업... 올해 인공지능(<b>AI</b>) 분야가 신설됐으며 공모에 참여한 32개 대학 중 숭실대를 포함해 3개 대학이 최종... ,"Fri, 12 Sep 2025 12:12:00 +0900"
14,韓시장 넘보는 中바이오… 서울서 글로벌포럼 개최,https://www.munhwa.com/article/11532764?ref=naver,https://n.news.naver.com/mnews/article/021/0002736224?sid=101,중국 바이오 기업들은 자국 정부의 막대한 지원을 바탕으로 세계 임상시험 점유율을 높이고 인공지능(<b>AI</b>) 신약 개발에서도 약진하고 있어 한국 바이오산업에 치명적인 위협 요소가 될 수 있다는 우려가 제기되고 있다.... ,"Fri, 12 Sep 2025 12:11:00 +0900"
15,‘HBM4 양산’ 누가 스타트 끊나… 삼성·하이닉스 초읽기 승부,https://www.munhwa.com/article/11532762?ref=naver,https://n.news.naver.com/mnews/article/021/0002736222?sid=101,인공지능(<b>AI</b>) 반도체 시대 총아(寵兒) 격인 6세대 고대역폭메모리(HBM) 양산의 주도권을 두고 SK하이닉스와 삼성전자가 치열한 막판 각축전을 펼치고 있다. HBM은 <b>AI</b> 가속기와 고성능 서버에 들어가는 메모리 반도체로... ,"Fri, 12 Sep 2025 12:11:00 +0900"
16,"CJ ENM, 하반기 신입 공개채용…K콘텐츠 주역 찾는다",http://www.edaily.co.kr/news/newspath.asp?newsid=03145526642299464,https://n.news.naver.com/mnews/article/018/0006113676?sid=103,크리에이터 전형은 △지원서 접수 △<b>AI</b>역량검사 △테스트 전형 △CJWT/PD 오디션 △기획미션 △직무 수행능력 평가 및 최종면접으로 치러진다. 일반·글로벌 전형은 △지원서 접수 △<b>AI</b>역량검사 △테스트 전형 △1차... ,"Fri, 12 Sep 2025 12:11:00 +0900"
17,"김제시, 특장 모빌리티 기업인 대상 <b>AI</b>기반 경영전략 특강",https://www.pressian.com/pages/articles/2025091211391846640?utm_source=naver&utm_medium=search,https://n.news.naver.com/mnews/article/002/0002405807?sid=102,전북자치도 김제시는 국립군산대학교 RISE사업단 (사)한국특장차협회와 협력해‘<b>AI</b> 기반 특장모빌리티 경영전략 및 방향’특강을 개최했다고 12일 밝혔다. 이번 행사는 <b>AI</b> 시대의 대전환에 대응해 특장차 기업 맞춤형... ,"Fri, 12 Sep 2025 12:11:00 +0900"
18,"KB證, '<b>AI</b>가 골라주는 투자' 서비스 오픈",https://www.polinews.co.kr/news/articleView.html?idxno=707215,https://www.polinews.co.kr/news/articleView.html?idxno=707215,KB증권은 지난 8일 KB증권 대표 MTS인 'KB M-able(마블)'에서 자문형 투자 서비스 '<b>AI</b>가 골라주는 투자'를 오픈했다고 12일 밝혔다. 새롭게 오픈한 <b>AI</b>가 골라주는 투자는 ISA·IRP 계좌에서 고객이 <b>AI</b>를 기반으로 각자의 자산... ,"Fri, 12 Sep 2025 12:11:00 +0900"
