,title,originallink,link,description,pubDate
0,"[코인 시황] 비트코인 '주춤', 이더리움 '상승 베팅'…솔라나도 두각",https://www.newspim.com/news/view/20250904001082,https://www.newspim.com/news/view/20250904001082,"여기에 갤럭시 디지털이 자사 <b>주식</b>을 솔라나 블록체인에서 토큰화했고, 알펜글로우 업그레이드로 거래 속도·안정성이 개선될 예정이라 호재가 이어지고 있다. 암호화폐 자산운용사 아르카(Arca)의 제프 도먼... ","Thu, 04 Sep 2025 19:54:00 +0900"
1,"포르쉐의 굴욕, 獨우량주 지수서 퇴출",http://www.edaily.co.kr/news/newspath.asp?newsid=04595286642296840,https://n.news.naver.com/mnews/article/018/0006107180?sid=101,포르쉐의 최고경영자(CEO)인 올리버 블루메는 이날 독일 일간지 FAZ와의 인터뷰에서 “가능한 한 빨리 DAX로 복귀하는 것이 목표”라며 이번 지수 제외는 유통되는 <b>주식</b> 수가 낮았다는 기술적 요인 때문이라고... ,"Thu, 04 Sep 2025 19:51:00 +0900"
2,"[팟캐스트 Ep.127] 흔들리는 시장 속 기회, 금 강세와 ETH 약진이 보내는...",https://www.tokenpost.kr/news/insights/282915,https://www.tokenpost.kr/news/insights/282915,뭐 <b>주식</b>이나 암호화폐나 잠깐 반짝했죠. 그런데 그게 오래가진 못하고 주말 지나고 월요일 되니까. 다시 좀... 또 로빈 후드 미국 <b>주식</b> 앱 있잖아요. 거기서 영국의 예측 시장 상품을 내놨다는 것도 주목할 만해요. 점점... ,"Thu, 04 Sep 2025 19:46:00 +0900"
3,"골드만 &quot;투자자들,美국채 1%만 금으로 바꿔도 금값 내년 5천달러&quot;",https://www.hankyung.com/article/202509043826i,https://n.news.naver.com/mnews/article/015/0005180497?sid=101,"블룸버그에 따르면, 골드만 삭스의 분석가들은 “연준의 독립성이 훼손되는 시나리오는 인플레이션 상승, <b>주식</b> 및 장기 채권 가격 하락, 달러의 기축 통화 악화로 이어질 가능성을 높인다”고 말했다. 반대로 금은... ","Thu, 04 Sep 2025 19:45:00 +0900"
4,"&quot;눈 뜨자마자 <b>주식</b> 거래&quot; 한국거래소, '7시 프리마켓' 개설 검토",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=5138805,https://n.news.naver.com/mnews/article/057/0001906572?sid=101,이 경우 투자자들이 출근길에 <b>주식</b>을 거래할 길을 열어주는 동시에 오전 8시부터 8시 50분까지 프리마켓을 여는 넥스트레이드와 차별화를 꾀할 수 있을 것으로 보입니다. 다만 한국거래소 측은 검토되고 있는 아이디어... ,"Thu, 04 Sep 2025 19:44:00 +0900"
5,"[하루 5분 크립토뉴스] BTC 10만1천달러 보합세, ETH 1.36% 상승...비트코...",https://www.tokenpost.kr/news/insights/282917,https://www.tokenpost.kr/news/insights/282917,뭐냐면 CalPERS가 이미 비트코인을 대량 보유한 마이크로스트래티지라는 회사 <b>주식</b>을 1억 7천만 달러 어치나 가지고 있다. 이걸 지적한 거죠. 음 간접 투자다 그렇죠? 이건 뭐 사실상 간접적으로 비트코인에 노출된 거나... ,"Thu, 04 Sep 2025 19:44:00 +0900"
6,충북대 창업보육센터 입주기업 '포네이처스' TIPS 2025 선정,http://www.cctimes.kr/news/articleView.html?idxno=864131,http://www.cctimes.kr/news/articleView.html?idxno=864131,충북대학교 창업지원단 창업보육센터 입주기업인 <b>주식</b>회사 포네이처스의 류호림 대표/충북대 제공 충북대학교 창업지원단 창업보육센터 입주기업인 <b>주식</b>회사 포네이처스가 최근 중소벤처기업부와... ,"Thu, 04 Sep 2025 19:42:00 +0900"
7,"세종대 김대종 교수, 프랜차이즈 기업 돌파 전략 특강",http://www.ttlnews.com/news/articleView.html?idxno=3027705,http://www.ttlnews.com/news/articleView.html?idxno=3027705,"또한 &quot;미국과 한국의 기준금리가 인하되면 부동산·<b>주식</b> 등 자산 가치가 상승하고, 2026년 한국 경제는 2.2% 성장하며 회복세를 보인다&quot;고 전망했다. 맥세스 컨설팅 서민교 대표는 &quot;김대종 교수의 강연은 변화하는 경제... ","Thu, 04 Sep 2025 19:42:00 +0900"
8,"거래소, 오전 7시∼7시50분 프리마켓 개설 검토",https://www.mk.co.kr/article/11411599,https://n.news.naver.com/mnews/article/009/0005553413?sid=101,이 경우 투자자들이 출근길에 <b>주식</b>을 거래할 길을 열어주면서도 오전 8시부터 8시50분까지 프리마켓을 여는 넥스트레이드와 차별화를 꾀할 수 있을 전망이다. 다만 한국거래소 측은 검토되고 있는 아이디어 중 하나일... ,"Thu, 04 Sep 2025 19:41:00 +0900"
9,“이게 웬 날벼락” 시청률 대박났다더니…100% 손실 사태 ‘아우성’,https://biz.heraldcorp.com/article/10568911?ref=naver,https://n.news.naver.com/mnews/article/016/0002524379?sid=105,스튜디오드래곤 제작 드라마 ‘폭군의 셰프’ 제작 발표회 모습 [SNS] “드라마 보고 <b>주식</b> 샀다가 낭패”... ‘폭군의 셰프’ 방영 이후 <b>주식</b>을 산 사람들은 거의 100% 손실을 보고 있다. 5만원대로 반등했던 주가가... ,"Thu, 04 Sep 2025 19:41:00 +0900"
